movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date
163019,,"Harrison Evans, Sylvester Groth, Shirley Henderson, Alice Henley, Jonathan Livingstone, Emily McCormick, Kwaku Mills, Anne Reid, Amber Rose Revah, David Schaal, Rufus Sewell, Alan Tudyk, Indira Varma, Olivia Williams",Comédie,Royaume-Uni,Matt Winn,tt15507128,,126,,6.2,89,,"Bright Pictures, Relevate Ventures, Yes Repeat No","Sarah and Tom are in deep financial trouble. Their situation takes a terrifying nosedive with the shocking behavior of uninvited dinner guest, Jessica.",The Trouble With Jessica,https://www.imdb.com/title/tt15507128/?ref_=rlm,,17-07-2024
,,"Chris Pratt, Samuel L. Jackson, Hannah Waddingham, Ving Rhames, Nicholas Hoult, Cecily Strong, Harvey Guillén, Brett Goldstein, Bowen Yang, Snoop Dogg, Luke Cinque-White","Animation, Aventure, Comédie","Royaume-Uni, États-Unis",Mark Dindal,tt5779228,,,466,,, The Garfield Movie,"Alcon Entertainment, Columbia Pictures, Double Negative (DNEG)",Garfield s'apprête à vivre une aventure sauvage en plein air. Après des retrouvailles inattendues avec son père disparu depuis longtemps - le chat Vic - Garfield et Odie sont contraints d'abandonner leur vie choyée pour rejoindre Vic.,Garfield : Héros Malgré Lui,https://www.imdb.com/title/tt5779228/?ref_=rlm,,17-07-2024
,,"Leonardo Sbaraglia, Lali Espósito, Julieta Zylberberg, Andrea Frigerio, Luis Ziembrowski, Marcelo Subiotto, Cristina Banegas, Alejandra Flechner, Camila Peralta, Héctor Bidonde, Teresa Calandra, Mara Bestelli, Claudia Cantero, Zulema Galperín, Juan Luppi, Aldo Onofri, Liliana Juárez, Gaspar Offenhenden","Comédie, Drame","Argentine, Italie, Allemagne, France, Brésil","María Alché, Benjamín Naishtat",tt13866866,,500,,6.9,109, Puan,"Atelier de Production, Bubbles Project, Infinity Hill","At the University of Buenos Aires, a rivalry arises between two Philosophy teachers for a professorship position.",El Profesor,https://www.imdb.com/title/tt13866866/?ref_=rlm,,03-07-2024
,,"Steve Carell, Kristen Wiig, Joey King, Will Ferrell, Sofía Vergara, Miranda Cosgrove, Dana Gaier, Madison Skyy Polan, Pierre Coffin, Steve Coogan, Stephen Colbert, Chloe Fineman","Animation, Aventure, Comédie",États-Unis,"Chris Renaud, Patrick Delage",tt7510222,,,524,,, Despicable Me 4,"Universal Pictures, Illumination Entertainment","Gru, Lucy, Margo, Edith et Agnès accueillent un nouveau membre de la famille, Gru Jr, qui est déterminé à tourmenter son père. Gru a un nouvel ennemi, Maxime Le Mal, et sa petite amie Valentina, et la famille est obligée de fuir.","Moi, Moche Et Méchant 4",https://www.imdb.com/title/tt7510222/?ref_=rlm,,03-07-2024
,,"Rikiya Koyama, Minami Takayama, Wakana Yamazaki","Animation, Mystère, Romantique",Japon,Chika Nagaoka,tt31474158,,,,,90, Meitantei Konan Hyakuman Doru No Michishirube,TMS Entertainment,,Détective Conan: L'Étoile À 1 Million De Dollars,https://www.imdb.com/title/tt31474158/?ref_=rlm,,19-06-2024
,,"Megan Northam, Dimitri Doré, Sébastien Pouderoux, Catherine Salée, Sam Louwyck, Roman Williams, Sofia Lesaffre, Nicolas Avinée, Yoann Thibaut Mathias, Arcadi Radeff, Sabine Timoteo, Marie Bray, Christian Bouillette","Aventure, Drame, Science-fiction",France,Jérémy Clapin,tt21247132,,51,,6.5,89,,"Auvergne Rhône-Alpes Cinéma, Carcadice, France 3 Cinéma","Elsa, 23 ans, n'arrive pas à faire le deuil de son frère aîné, disparu au cours d'une mission spatiale. Un jour, elle est contactée par une forme de vie inconnue qui prétend pouvoir le ramener sur Terre. Mais il y a un prix à payer.",Pendant Ce Temps Sur Terre,https://www.imdb.com/title/tt21247132/?ref_=rlm,,03-07-2024
2991086,,"Jimmy O. Yang, J.K. Simmons, Chloe Bennet, Lisa Lu, Sharon Horgan, Catherine Tate, John Cleese, Nick Heath, Naomi McDonald, Rebecca Yeo, Raza Jaffrey, Alexander Rodriguez, Kerry Shale","Animation, Comédie, Famille","États-Unis, Royaume-Uni, Émirats arabes unis",Ross Venokur,tt8417168,,791,,5.2,93, The Silk Road Rally,"Riverstone Pictures, Kintop Pictures, Vanguard Films and Animation",Les coureurs s'affrontent dans un rallye aux enjeux élevés le long de la célèbre route commerciale de la soie.,Les Rois Du Rallye,https://www.imdb.com/title/tt8417168/?ref_=rlm,744169,31-07-2024
,46870000,"Pierre Niney, Pierfrancesco Favino, Anaïs Demoustier, Oscar Lesage, Anamaria Vartolomei, Laurent Lafitte, Julien De Saint Jean, Vassili Schneider, Bastien Bouillon, Patrick Mille, Bruno Raffaelli, Axel Baille, Kurt Laferla, Abde Maziane, Olivier Le Montagner, Françoise Gazio, Jonathan Balzan, Mark Cassar","Action, Aventure, Drame",France,"Alexandre de La Patellière, Matthieu Delaporte",tt26446278,,,3915,,,,"Chapter 2, Fargo Films, M6 Films",Une nouvelle adaptation du célèbre roman d'Alexandre Dumas.,Le Comte De Monte-Cristo,https://www.imdb.com/title/tt26446278/?ref_=rlm,,28-06-2024
24520,,"Shin Seok-ho, Ha Seong-guk, Kim Seung-yun, Kim Min-hee",Drame,Corée du Sud,Hong Sang-soo,tt26448971,,302,,6.3,61, Mul-An-E-Seo,Jeonwonsa Film,"A young actor explores the surroundings, waits for the right light to emerge and watches the horizon from the coast.",In Water,https://www.imdb.com/title/tt26448971/?ref_=rlm,,26-06-2024
,,"Yorgos Tsiantoulas, Andreas Labropoulos, Roubini Vasilakopoulou, Nikolaos Mihas, Vasilis Tsigristaris, Jacques Simha, Lena Giaka",Comédie,Grèce,Zacharias Mavroeidis,tt27139897,,94,,7.4,106, To Kalokairi Tis Karmen,"Argonauts Productions S.A., Atalante Productions S.A., Ekome","While having a day-long swim at Athens' queer beach, best friends Demos and Nikitas recall the events of a recent summer in the prospect of turning them into a screenplay for Nikitas' feature debut.",The Summer With Carmen,https://www.imdb.com/title/tt27139897/?ref_=rlm,,19-06-2024
,,"Thomas Lemoine, Pierre Lottin, Lionnel Astier, Gaël Tavares, Melissa Izquierdo, Alain Bouzigues, Hichem Yacoubi, Meledeen Yacoubi, Benjamin Baffie, Lotfi Abdelli",Comédie,France,"Dimitri Lemoine, Thomas Lemoine",tt27487494,,,,,,,"AuldLands Films, AuldLands Films","Mathieu, a young ambitious actor, struggles to put together his showreel. His friend Ousmane offers him a role in his rap music video, but the shoot doesn't go as planned.",La Gardav,https://www.imdb.com/title/tt27487494/?ref_=rlm,,12-06-2024
,,"Mathias Legout Hammond, Élodie Bouchez, Jean-Charles Clichet, Céleste Brunnquell, Laly Mercier, Louis Peres, Angèle Metzger, Bakary Diombera, Anne Benoît, Valérie Lemaitre, Bruno Georis, Géraldine Pochon, Mila Ruozo, Noan Lazhar, Suzon Renaud, Cédric Mazzec, Rolland Gervet, Véronique Frumy",Drame,"France, Belgique",Céline Rouzet,tt22986716,,70,,6.8,104,,"ElianeAntoinette, Reboot Films, Altitude 100 Production","The Feral family plan to look normal and friendly as they move into a new neighborhood. Their son, Philemon gets closer to his new neighbor, Camila and his thirst for blood grows thus his difference becomes impossible to hide.",En Attendant La Nuit,https://www.imdb.com/title/tt22986716/?ref_=rlm,,12-06-2024
,50000000,"Bill Skarsgård, FKA twigs, Danny Huston, Laura Birn, Jordan Bolger, Isabella Wei, David Bowles, Sami Bouajila, Dukagjin Podrimaj, Jim High, Paul A Maynard, Sebastian Orozco, Baha Chbani, Kim Girschner","Action, Policier, Fantastique","Royaume-Uni, France, États-Unis",Rupert Sanders,tt1340094,,,32,,,,"Hassell Free Productions, Davis-Films, The Electric Shadow Company","Une réimagination moderne du personnage bien-aimé, The Crow, basée sur le roman graphique original de James O'Barr.",The Crow,https://www.imdb.com/title/tt1340094/?ref_=rlm,,05-06-2024
76531,,"Arthur, Emma Avena, Amir Baylly, ""Jenny BelAir"", La Bourette, Nathan Callot, Kori Ceballos, Liz Christin, Iris Crosnier, Naëlle Dariya, Tom Dekel, Clara Deshayes, Virginie Despentes, Eleonore, Castiel Emery, Le Filip, Pierre et Gilles, Noam Iroual",Documentaire,France,Paul B. Preciado,tt26448981,86,355,,7.1,98,,"24 Images, ARTE, Les Films du Poisson","La politique nous montre que le changement n'est plus seulement une question de genre, mais aussi de poésie, d'amour et de couleur de peau.","Orlando, Ma Biographie Politique",https://www.imdb.com/title/tt26448981/?ref_=rlm,37461,05-06-2024
,,"Bernard Llopis, Lucas Viudez, .jU, Odette Simoneau, Faddo Jullian, Emma Soisson",Comédie,France,,tt26699755,,,,,103,,"Les Films du Veyrier, Mirak Films",Two young women who hit the road in their old truck after being chased from the land they were squatting and head off on an adventure.,Fainéant.E.S,https://www.imdb.com/title/tt26699755/?ref_=rlm,,29-05-2024
,,"Dakota Fanning, Olwen Fouéré, Georgina Campbell, Siobhan Hewlett, Hannah Howland, Alistair Brammer, Seán T. Ó Meallaigh, Oliver Finnegan, ""Shane ORegan"", Anthony Morris, Jacob Greenway, Kya Brame, Emily Dargan, Hannah Dargan, Jim Tighe, Adam Ashford, Charles Camrose, Diarmuid de Faoite","Fantastique, Horreur, Mystère",États-Unis,Ishana Shyamalan,tt26736843,,,475,,, The Watchers,"Blinding Edge Pictures, Inimitable Pictures, New Line Cinema","Mina, une artiste de 28 ans, se retrouve bloquée dans une vaste forêt immaculée de l'ouest de l'Irlande. Après avoir trouvé un abri, elle se retrouve piégée avec trois étrangers, traqués chaque nuit par de mystérieuses créatures.",Les Guetteurs,https://www.imdb.com/title/tt26736843/?ref_=rlm,,05-06-2024
,,,Animation,Canada,Joël Vaudreuil,tt28337488,,7,,7.0,96,,Parce Que Films,"Adam is a 15-year-old teenager who has the strange peculiarity of having a body that changes, depending on the teasing and negative comments he receives from those around him. The accumulation of his physical changes just adds a layer to his already complex life.",Adam Change Lentement,https://www.imdb.com/title/tt28337488/?ref_=rlm,,29-05-2024
,,"Luke Stratte-McClure, Julien Romano, Catalina Cuevas, Constantin Leu, Charlotte Landoy, Jiahui Chou, Zita Wang, Dylan Louhoungou, Haô Ting, Ghjulia Van Muylders",Thriller,France,Sofiene Mamdi,tt27045130,,,,,92,,Reaficta Films,"Ce soir est la dernière chance pour Alex de changer son destin. Alors qu'il met en œuvre un plan complexe, les personnages louches et les rebondissements inattendus en font un pari périlleux et risqué.",Assemblage,https://www.imdb.com/title/tt27045130/?ref_=rlm,,29-05-2024
,,"Giancarlo Esposito, Kathryn Newton, Dan Stevens, Matthew Goode, Angus Cloud, Melissa Barrera, Kevin Durand, Alisha Weir, William Catlett","Horreur, Thriller","États-Unis, Irlande","Matt Bettinelli-Olpin, Tyler Gillett",tt27489557,,,316,,,,"Project X Entertainment, Radio Silence Productions, Wild Atlantic Pictures","Après avoir enlevé la fille ballerine d'un puissant personnage de la pègre, un groupe de criminels se réfugie dans un manoir isolé, ignorant qu'ils y sont enfermés avec une petite fille tout ce qu'il y a de plus normal.",Abigail,https://www.imdb.com/title/tt27489557/?ref_=rlm,,29-05-2024
12806,,"Alejandro Hincapié, Camilo Machado, Alejandro Mendigana, Julian David Moncada, Camilo Najar, Juan Pérez, Sharllot Zodoma, Víctor Gaviria, Theo Montoya, Julian Stevens Arias, Jonathan Leandro Cadavid, Jerónimo Rendón Deossa, Alejandro Duque, Jhonatan Solei Hernández, Tailyn Valencia, Sergio Pérez","Documentaire, Drame","Colombie, Roumanie, France, Allemagne",Theo Montoya,tt21364460,,254,,7.1,75,,"Desvio Visual, Monogram Film, Dublin Films","A funeral car cruises the streets of Medellin, while a young director tells the story of his past in this violent and conservative city. He remembers the pre-production of his first film, a Class-B movie with ghosts.",Anhell69,https://www.imdb.com/title/tt21364460/?ref_=rlm,,29-05-2024
,13124000,"Denis Ménochet, Kacey Rohl, K.C. Collins, Jhaleil Swaby, Laurent Lemaire, Michaëna Benoit, Melissa Toussaint, Pascal Tshilambo, Veronique Verhoeven, Kemware Heru Nethier, Chip Chuipka, Peter Bryant, Philippe Lavalette, Sara Montpetit, Robin T. Rose, Elizabeth Eveillard, Gytana Theobrun, Gillian Doria",Drame,Canada,Anaïs Barbeau-Lavalette,tt18350136,,193,,5.9,96,,Go Films,"Alors que le pays explose après l'assassinat de Martin Luther King, l'écrivain Romain Gary, humaniste et amoureux des animaux, et sa femme, la star Jean Seberg, militante des droits civiques, accueillent chez eux un chien abandonné.",Chien Blanc,https://www.imdb.com/title/tt18350136/?ref_=rlm,,22-05-2024
,168000000,"Anya Taylor-Joy, Chris Hemsworth, Nathan Jones, Charlee Fraser, Tom Burke, Lachy Hulme, Angus Sampson, Alyla Browne, Daniel Webber, Nat Buchanan, David Collins, Goran D. Kleut, Spencer Connelly, Ian Roberts, Matuse, Maleeka Gasbarri, CJ. Bloomfield, Rahel Romahn","Action, Aventure, Science-fiction",Australie,George Miller,tt12037194,,,118,,,,"Kennedy Miller Mitchell, Warner Bros.","L'histoire de la guerrière renégate Furiosa avant qu'elle ne s'associe à Mad Max dans ""Fury Road"".",Furiosa: A Mad Max Saga,https://www.imdb.com/title/tt12037194/?ref_=rlm,,22-05-2024
62981,,"Yang Jae-seong, Kim Seo-hyeong, Mi-won Won, Shin Yun-sook","Policier, Drame, Thriller",Corée du Sud,Lee Sol-hui,tt22489882,,70,,6.6,100,,KAFA Films,"A divorced mother works as a caregiver while living in a converted greenhouse, striving to earn enough to move with her middle school son into a real home.",Greenhouse,https://www.imdb.com/title/tt22489882/?ref_=rlm,,29-05-2024
1674900,,"Santiago Sandoval, Fernando Cuautle, Esteban Caicedo, Isabel Yudice, Mónica Del Carmen, Roberto Ramos, Alejandrina Osorio, Ivan Flores, German Carrizales, .Carlos Gerardo Garcia Silva, Salvador Rico, Ricardo Tadeo, Ari Axel Hernandez, David Deleo, Diego Resendiz, Iván González, Daniel Montano, Lourdes Millan","Drame, Mystère, Thriller","Mexique, Suède",David Zonana,tt24079846,,11000,,6.8,88,,"Filmadora, Film i Väst","Luis, un jeune homme de 18 ans aux racines indigènes, entre à l'École militaire héroïque dans l'espoir de s'assurer un meilleur avenir.",Heroico,https://www.imdb.com/title/tt24079846/?ref_=rlm,,22-05-2024
,,"Pawan Malhotra, Jayy Randhawa, Deep Sehgal",Drame,Inde,Maneesh Bhatt,tt31616101,,,,,,,Thind Motion Films,"Daler, whose neck fall on the right side when he's angry, His life took drastic turn when he tries to bring His Pregnant sister back home .",Je Jatt Vigad Gya,https://www.imdb.com/title/tt31616101/?ref_=rlm,,17-05-2024
,,"Laurent Bonnet, Joel Gosset, Olivier Gourmet, Dave Johns, Brigitte Poupart, Vanessa Van Durme","Comédie, Drame","Belgique, Canada",David Lambert,tt23183578,,7,,6.7,83,,Artémis Productions,"Thom and Henri experienced the joys of gay marriage, but after 35 years together, love turned sour, and it was time for a divorce.",Les Tortues,https://www.imdb.com/title/tt23183578/?ref_=rlm,,15-05-2024
,,"Nisrin Erradi, Jalila Talemsi, Nisrine Benchara, Rayhan Guaran",Aventure,"France, Maroc",Yasmine Benkiran,tt14311482,,94,,7.4,83,,"Petit Film, Deuxieme Ligne Films, KeyFilm","Casablanca, Morocco. A trio of women, with the police on their tail, embarks on a long escape that takes them across the rugged red terrain and flower-filled valleys of the Atlas to finally reach the Atlantic coast.",Queens,https://www.imdb.com/title/tt14311482/?ref_=rlm,,15-05-2024
,,"Benjamin Voisin, Emmanuelle Bercot, Rivaldo Pawawi, Lottie Andersen, Aure Atika, Suzy Bemba, Laura Felpin, Chloé Lecerf, Grégoire Ludig, Mila Michael",Comédie,France,Jérémie Sein,tt27751906,,,,,,,Avenue B Productions,,L'Esprit Coubertin,https://www.imdb.com/title/tt27751906/?ref_=rlm,,08-05-2024
,,"Léa Drucker, Eric Godon, Wim Willaert, Pierre Lottin, Bastien Bouillon, Marion Barbeau, Thor Schenker, Christophe Reymond, Silvia Massegur, Karim Seghair",,France,,tt28374926,,,,,,,,,Un Homme En Fuite,https://www.imdb.com/title/tt28374926/?ref_=rlm,,08-05-2024
,,"Marie Toscan du Plantier, Iris Bry, Thomas Scimeca, Yannick Renier, Isild Le Besco, André Marcon, Sarah Le Picard, François Berléand, Scali Delpeyrat, Thibault de Montalembert, Karol Beffa, Stéphane Bernard, Édouard Buhr, Victor Chambon, Balthazar Corvez-Jubin, Guillemette Crémèse, Xavier de Guillebon, Clément Ducros",Drame,France,Jean-Claude Monod,tt30184788,,,,,97,,"Dacor Productions, ""Les Films dIci""",,Un Jour Fille,https://www.imdb.com/title/tt30184788/?ref_=rlm,,08-05-2024
,,"Tope Tedela, Riyo David, Martha Ehinome, Uche Elumelu, Floyd Anekwe","Drame, Romantique",Nigeria,Babatunde Apalowo,tt25161220,,142,,6.4,93, All The Colours Of The World Are Between Black And White,Polymath Pictures,"Bambino and Bawa meet in Lagos and hit it off immediately. During their long trips around the city, they develop a deep affection for each other. But in a society which considers homosexuality taboo, they feel the pressure of social norms.",Toutes Les Couleurs Du Monde,https://www.imdb.com/title/tt25161220/?ref_=rlm,,08-05-2024
,,"Ryô Ikeda, Wan Marui, Yûgo Mikawa, Koki Osamura, Momoi Shimada, Harumi Shuhama, Makita Sports, Haruki Takano, Kotaro Yagi",Comédie,Japon,Ryo Takebayashi,tt27510455,,404,,6.6,82, Mondays: See You 'This' Week!,,Un groupe de collègues d'une agence de publicité découvre peu à peu qu'ils sont tous piégés dans une boucle temporelle d'une semaine.,Comme Un Lundi,https://www.imdb.com/title/tt27510455/?ref_=rlm,,08-05-2024
,,"Fred Blin, Léonie Dahan-Lamort, Lilith Grasmug, Cyril Metzger, Maxime Rohart",Drame,France,Romain de Saint-Blanquat,tt26245650,,97,,6.7,90,,Easy Tiger,A Catholic schoolgirl is convinced tonight is her last night on Earth and decides to attend a costume party with her best friend.,La Morsure,https://www.imdb.com/title/tt26245650/?ref_=rlm,,15-05-2024
,,"Lilith Grasmug, Mermoz Melchior, Benjamin Python, Noah Watzlawick, Lea Gigon, Diana Gervalla, Lou Iff, Sabine Timoteo, François Revaclier, Marco Calamandrei, Barbara Tobola, Etienne Tripoz, Lisa Kirby",Drame,Suisse,Carmen Jaquier,tt12390508,,310,,6.2,92,,"Close Up Films, Radio Télévision Suisse (RTS)","In a Swiss village, Elisabeth, 17, returns home from the convent after learning of her sister's mysterious death. Reunited with her three childhood friends, she discovers that faith and desire can sometimes be intertwined.",Foudre,https://www.imdb.com/title/tt12390508/?ref_=rlm,,08-05-2024
,,"William H. Macy, Freya Allan, Dichen Lachman, Kevin Durand, Owen Teague, Peter Macon, Neil Sandilands, Lydia Peckham, Sara Wiseman, Eka Darville, Travis Jeffery, Ras-Samuel, Nina Gallas","Action, Science-fiction",États-Unis,Wes Ball,tt11389872,,,197,,, Kingdom Of The Planet Of The Apes,"Disney Studios Australia, Twentieth Century Fox",Un jeune singe entreprend un voyage qui l'amène à remettre en question tout ce qu'on lui a appris sur le passé et à prendre des décisions qui détermineront son avenir.,La Planète Des Singes: Nouveau Royaume,https://www.imdb.com/title/tt11389872/?ref_=rlm,,08-05-2024
3200822,3815000,"Hennika Huuse, Todd Bishop Monrad Vistven, Johannes Kjærnes, Tobias Santelmann, Kari Simonsen, Henriette Marø, Line Verndal, Atle Antonsen, Desta Marie Beeder, Charlotte Frogner","Animation, Famille",Norvège,"Rasmus A. Sivertsen, Jean-Luc Julien",tt21212718,,252,,5.4,76, Helt Super,Qvisten Animation,"Hedvig a rétréci le costume de super-héros de papa et ne peut donc plus être le super-Lion. Le joueur Hedvig est maladroit, mais lorsque papa choisit le cousin Adrian pour être le prochain héros, Hedvig doit réagir.",Super Lion,https://www.imdb.com/title/tt21212718/?ref_=rlm,,08-05-2024
118613,,"Augusto Góngora, Paulina Urrutia, Gustavo Cerati, Pedro Lemebel, Javier Bardem, Raúl Ruiz",Documentaire,"Chili, États-Unis",Maite Alberdi,tt24082488,85,3000,1489,7.4,85, La Memoria Infinita,"Fabula, Micromundo Producciones, Chicken And Egg Pictures","Augusto et Paulina sont ensemble depuis 25 ans. Il y a huit ans, on lui a diagnostiqué la maladie d'Alzheimer. Tous deux redoutent le jour où il ne la reconnaîtra plus.",La Mémoire Éternelle,https://www.imdb.com/title/tt24082488/?ref_=rlm,67594,08-05-2024
,,,Documentaire,France,Nicolas Peduzzi,tt27009824,,56,,7.9,102,,"ARTE, Gogogo Films","Comment bien soigner dans une institution malade ? Dans un hôpital de la région parisienne, un psychiatre se consacre à sa mission au risque de perdre du terrain.",État Limite,https://www.imdb.com/title/tt27009824/?ref_=rlm,,01-05-2024
,,"Artus, Clovis Cornillac, Alice Belaïdi, Marc Riso, Céline Groussard, Gad Abecassis, Ludovic Boul, Stanislas Carmont, Marie Colin, Thibaut Conan, Mayane Sarah El Baze, Théophile Leroy, Boris Pitoëff, Sofian Ribes, Arnaud Toupense, Benjamin Vandewalle",Comédie,France,Artus,tt30795948,,,,,,,Cine Nomine,"Pour échapper à la police, un fils et son père trouvent refuge dans une colonie de vacances pour jeunes adultes handicapés, en se faisant passer pour un pensionnaire et son éducateur.",Un P'Tit Truc En Plus,https://www.imdb.com/title/tt30795948/?ref_=rlm,,01-05-2024
,,"Diego Murgia, Benjamin Tellier, Jean Devie, Emmanuelle Bercot, Raphaël Quenard",,France,,tt28100718,,9,,7.3,95, Les Trois Fantastiques,"Rectangle Productions, Les Films Norfolk","East of France, today. Max, a witty and brave 12-year-old, feels like he has two families instead of one. In and after school, he spends all his time with his two best friends Tom and Vivian, who are always there to make life easier for each other. Together, they are The Fantasti...",Les Trois Fantastiques,https://www.imdb.com/title/tt28100718/?ref_=rlm,,01-05-2024
850,,"Francisco Hyjno Kraho, Ilda Patpro Kraho, Luzia Cruwakwyj Kraho, Solane Tehtikwyj Kraho, Raene Kôtô Krahô, Debora Sodre",Drame,"Portugal, Brésil","Renée Nader Messora, João Salaviza",tt27502245,,176,,6.2,123, Crowrã,"Entrefilmes, Karõ Filmes","Patpro, recounting the history, struggle for land took place in 1940. Krahô never stop inventing new forms of resistance, guided by their ancestral rites, and their fight to preserve their freedom.",La Fleur De Buriti,https://www.imdb.com/title/tt27502245/?ref_=rlm,,01-05-2024
,109000,"Alex Lutz, Léa Drucker, Nora Hamzawi, Louise Chevillotte, Arcadi Radeff, Laurence Côte, Jonny Carlo, Alain Chamfort, Céline Karter, Matthieu Lucci, Eric Marcel, Vincent Nemeth, Christophe Paou, Olivier Rabourdin, Alexandre Steiger, Jesse Guttridge",Drame,France,Pascal Bonitzer,tt29147289,,,,,91,,SBS Productions,"André Masson, specialist in modern art, receives a letter according to which a painting by Egon Schiele had been discovered in Mulhouse. He finds that the work has been missing since 1939. This discovery puts his career in danger.",Le Tableau Volé,https://www.imdb.com/title/tt29147289/?ref_=rlm,,01-05-2024
,,,Documentaire,France,Matthew Lancit,tt31109759,,,,,80,,Tajine Studio,"If there is one person Matthew Lancit can't get out of his mind, it is his uncle Harvey. Dark rings around his eyes, pale, blind, his legs amputated. Like Harvey, the filmmaker also suffers from diabetes. How much longer?",Fais Le Mort!,https://www.imdb.com/title/tt31109759/?ref_=rlm,,30-04-2024
,,"Mathieu Kassovitz, Yvan Attal, Anaïs Parello, Cécile Morel",Drame,France,,tt28100729,,,,,,,"Quad, Traveling Angel Films",,Frères,https://www.imdb.com/title/tt28100729/?ref_=rlm,,27-04-2024
,,"Sidse Babett Knudsen, Sebastian Bull, Dar Salim, Marina Bouras, Olaf Johannessen, Bashar Al-Saoudi, Frantz Dupuis, Jacob Lohmann, Siir Tilif, Liv Tolsager, Thomas Voss, Rami Zayat","Drame, Thriller","Danemark, Suède, France",Gustav Möller,tt27496775,,134,,7.2,100,,"Nordisk Film, Nordisk Film Production Sverige AB, Danmarks Radio (DR)",The idealistic prison officer Eva is faced with the dilemma of her life when a young man from her past gets transferred to the prison where she works.,Vogter,https://www.imdb.com/title/tt27496775/?ref_=rlm,,01-05-2024
